"available","availableText","brand","ean","endedDate","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2"
,,,,,"Dearborn, Michigan, United States","324272400062",,"12630069","US $12,630,069.00","nfarj",,"Best Ever! The Best PSA Serial #’d Card on the Planet!","1986 86 Fleer Michael Jordan Rookie Sticker PSA 8(ST) # 06300690 CAREER HIGH PTS","Sports Trading Card",,"https://www.ebay.com/itm/324272400062",,,"Ships from United States","349 watchers",
,,,,,"Livonia, Michigan, United States","195083288951",,"7000000","US $7,000,000.00","cardguy444",,"HOLY GRAIL RAREST S/N TOM BRADY PSA 10 RC IN THE WORLD","SUPER RARE ( ELITE STATUS ) 2000 TOM BRADY ROOKIE DONURSS S/N 05/10 PSA 10 POP 1","Sports Trading Card",,"https://www.ebay.com/itm/195083288951",,,"Ships from United States","192 watchers",
,,,,,"San Antonio, Texas, United States","285024859926",,"5000000","US $5,000,000.00","sa-techboy",,"","2003 LEBRON JAMES RC UD ROOKIE EXCLUSIVES AUTO GEM MINT Rare Highest Graded","Sports Trading Card",,"https://www.ebay.com/itm/285024859926",,,"Ships from United States",,
,,,,,"Livonia, Michigan, United States","195509543378",,"4500000","US $4,500,000.00","cardguy444",,"","2003 TOM BRADY LEAF LIMITED # 12/12 GAME-WORN-2002-PRO-BOWL-JERSEY-AUTO-BGS 9/10","Sports Trading Card",,"https://www.ebay.com/itm/195509543378",,,"Ships from United States","8 watchers",
,,,,,"Indianapolis, Indiana, United States","204074772841",,"3900000","US $3,900,000.00","tb12mb07",,"","RARE 2007 Tom Brady Autograph Plaque 16-0 #Undefeated #GreatnessCode #RookieCard","Sports Trading Card",,"https://www.ebay.com/itm/204074772841",,,"Ships from United States","9 watchers",
,,,,,"Denver, Colorado, United States","265932738980",,"3200000","US $3,200,000.00","pangeaco",,"The only 1947 PSA 9 Jackie Robinson in the world, $10M+","1947 Jackie Robinson Rookie RC Brooklyn Dodgers 1st MLB Appearance PSA 9 Mint","Sports Trading Card",,"https://www.ebay.com/itm/265932738980",,,"Free shipping and returns","Ships from United States","10 watchers"
,,,,,"Passaic, New Jersey, United States","383932760088",,"4999999.99","US $4,999,999.99","",,"(Bgs 9 regraded to bgs 9.5 )THE HOLY GRAIL RC","2015-16 Exquisite Connor McDavid 1/1 RPA NHL Shield Logo Patch BGS 9.5 10 AUTO",,,"https://www.ebay.com/itm/383932760088",,,"Ships from United States","580 watchers",
,,,,,"Fort Walton Beach, Florida, United States","144603360662",,"3000000","US $3,000,000.00","dobermanboy30",,"","Lebron James 2003 SP Signature Edition RC Inscription 'The KING' Auto /25 BGS10","Sports Trading Card",,"https://www.ebay.com/itm/144603360662",,,"Ships from United States","71 watchers",
,,,,,"Livonia, Michigan, United States","193723287418",,"3200000","US $3,200,000.00","cardguy444",,"ONLY 1 PSA 9 in the WORLD No BGS SGC GRADED 9 or HIGHER","RARE ( PLAYERS HONORS )(#/10) 2000 TOM BRADY ROOKIE ABSOLUTE PLAYOFF PSA 9 POP 1","Sports Trading Card",,"https://www.ebay.com/itm/193723287418",,,"Ships from United States","547 watchers",
,,,,,"Rochester, New York, United States","284482688684",,"1623000","US $1,623,000.00","1stprintcomics",,"","2003-04 UD Rookie Exclusives AUTOGRAPH Michael Jordan A60 BGS PRISTINE 10 POP 1!","Sports Trading Card",,"https://www.ebay.com/itm/284482688684",,,"Ships from United States","89 watchers",
