"available","availableText","brand","ean","endedDate","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2"
,,,,,"Rancho Cucamonga, California, United States","165123068721",,"2000000","US $2,000,000.00","billvan23",,"","2018-19 PANINI CONTENDERS LUKA DONCIC PREMIUM GOLD RC AUTO BGS 9.5/10 POP 1","Sports Trading Card","Does not apply","https://www.ebay.com/itm/165123068721",,,"Ships from United States","158 watchers",
,,,,,"Sterling, Virginia, United States","194656052157",,"1500000","US $1,500,000.00","blowoutcards2",,"Only possible Lewis Hamilton Car # Autograph - GRAIL !!","2020 Topps Chrome F1 Lewis Hamilton Silver Refractor Auto #F1A-LH (44/58) PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/194656052157",,,"Free shipping and returns","Ships from United States","160 watchers"
,,,,,"Morrisville, North Carolina, United States","175281488184",,"1500000","US $1,500,000.00","ncmultimarketing04",,"","2009 National Treasures Stephen Curry RC Jersey Auto /99 RPA BGS 9","Sports Trading Card",,"https://www.ebay.com/itm/175281488184",,,"Ships from United States","156 watchers",
,,,,,"Rancho Cucamonga, California, United States","154648345112",,"2000000","US $2,000,000.00","billvan23",,"","2018 BGS 10 PRIZM SELECT COURTSIDE LUKA DONCIC ZEBRA ROOKIE CARD - BGS POP 1","Sports Trading Card",,"https://www.ebay.com/itm/154648345112",,,"Ships from United States","184 watchers",
,,,,,"Rancho Cucamonga, California, United States","165125388910",,"1250000","US $1,250,000.00","billvan23",,"","2018-19 Panini Select Luka Doncic Mavs RC Rookie Tie-Dye AUTO BGS 10/10 POP 1","Sports Trading Card",,"https://www.ebay.com/itm/165125388910",,,"Ships from United States","35 watchers",
,,,,,"Rancho Cucamonga, California, United States","165123076240",,"1500000","US $1,500,000.00","billvan23",,"","2018 BGS 10 #2/5 SELECT PRIZM COURTSIDE 1/1 LUKA DONCIC RC EXTREMELY RARE! POP 1","Sports Trading Card",,"https://www.ebay.com/itm/165123076240",,,"Ships from United States","56 watchers",
,,,,,"McKinney, Texas, United States","143993249228",,"1250000","US $1,250,000.00","mysportsaddiction",,"POPULATION 1 of 1 WITH BECKETT,  The Last Dance","MICHAEL JORDAN XRC RC ROOKIE 1985-86 STAR #2 B4 FLEER BGS 10 PRISTINE 1/1","Sports Trading Card",,"https://www.ebay.com/itm/143993249228",,,"Free shipping and returns","Ships from United States","54 watchers"
,,,,,"Encino, California, United States","164779971947",,"1000000","US $1,000,000.00","8767drose",,"","2003 Ultimate LeBron James ROOKIE AUTO /250 #127 BGS  PRISTINE 10! Holy Grail!!","Sports Trading Card",,"https://www.ebay.com/itm/164779971947",,,"Ships from United States","112 watchers",
,,,,,"Canton, Connecticut, United States","264275394203",,"1250000","US $1,250,000.00","ne-investments",,"HOLY GRAIL ... POP 1 ... PRISTINE ... INVESTMENT ...","1997 Browns Boxing #51 Floyd Mayweather Jr Rookie RC BGS 10 PRISTINE","Sports Trading Card",,"https://www.ebay.com/itm/264275394203",,,"Ships from United States","85 watchers",
,,,,,"Rancho Cucamonga, California, United States","164273520110",,"1000000","US $1,000,000.00","billvan23",,"STARS & STRIPS SOLID MINT QUAD 9'S -SEE PHOTOS!","2019-20 National Treasures Basketball Zion Williamson FOTL RPA 30/30 BGS 9.0/10","Sports Trading Card",,"https://www.ebay.com/itm/164273520110",,,"Ships from United States","91 watchers",
,,,,,"Agoura Hills, California, United States","334656635589",,"1100000","US $1,100,000.00","goatrarities",,"","Lebron James Pop 1 PSA 10 Upper Deck 2004 Autograph/Jersey Rarer than Exquisite","Sports Trading Card",,"https://www.ebay.com/itm/334656635589",,,"Ships from United States",,
,,,,,"Scottsdale, Arizona, United States","114794433081",,"1000000","US $1,000,000.00","freshrags23",,"","2009 Panini #357 Stephen Curry PSA MINT 9 RC Rookie","Sports Trading Card",,"https://www.ebay.com/itm/114794433081",,,"Ships from United States",,
,,,,,"CANADA, Canada","275524977384",,"999999.99","US $999,999.99","hockey-crazy",,"","BGS 10 PRISTINE 1997-98 PRECIOUS METALS PLATINUM WAYNE GRETZKY BLACK LABEL POP 1","Sports Trading Card",,"https://www.ebay.com/itm/275524977384",,,"6 watchers",,
,,,,,"Covington, Louisiana, United States","304636220712",,"999999.23","US $999,999.23","blackenedgolds",,"","1984 OLYMPICS USA Michael JORDAN GOLD MEDAL TICKET PSA 10! b4 1986 fleer rc! 1/1","Sports Trading Card",,"https://www.ebay.com/itm/304636220712",,,"Ships from United States","10 watchers",
,,,,,"Passaic, New Jersey, United States","363272504529",,"999999.99","US $999,999.99","",,"Pop1/1 HIGHEST GRADED BGS 9.5 NONE HIGHER (10-9-10-10)","1993 SP Foil #279 Derek Jeter RC Rookie HOF BGS 9.5 POP 1 ONLY HIGHEST GRADED",,,"https://www.ebay.com/itm/363272504529",,,"Returns accepted","231 watchers",
,,,,,"Rancho Cucamonga, California, United States","164108088525",,"1000000","US $1,000,000.00","billvan23",,"","2019-20 Panini Select ZION WILLIAMSON 4/5 CONCOURSE RC FOTL BGS 10","Sports Trading Card",,"https://www.ebay.com/itm/164108088525",,,"Ships from United States","52 watchers",
,,,,,"Scottsdale, Arizona, United States","114724647494",,"1000000","US $1,000,000.00","freshrags23",,"","2016-17 Panini Donruss Optic Lebron James & Kobe 1st Year Optic BGS 9.5 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/114724647494",,,"Ships from United States",,
,,,,,"Plover, Wisconsin, United States","165057853780",,"1000000","US $1,000,000.00","b.a.white",,"","2009 Matthew Stafford Topps Unique RPA Game Used Shield 1/1 BGS 9/10 Auto","Sports Trading Card",,"https://www.ebay.com/itm/165057853780",,,"Ships from United States","27 watchers",
,,,,,"Niagara Falls, Ontario, Canada","124530326497",,"1000000","US $1,000,000.00","uchihadesendent",,"","2019-20 Panini Prizm Lebron James Silver Prizm Fireworks PSA 10 #2 Lakers","Sports Trading Card",,"https://www.ebay.com/itm/124530326497",,,"7 watchers",,
,,,,,"Chicago, Illinois, United States","193712671867",,"1000000","US $1,000,000.00","sports_cards_shorts",,"","BGS 9 10 2018 LEAF METAL DRAFT LaMelo Ball AUTO SUPERFRACTOR GOLD VINYL 1/1 X-RC","Sports Trading Card",,"https://www.ebay.com/itm/193712671867",,,"Ships from United States","120 watchers",
,,,,,"Fort Walton Beach, Florida, United States","144389574812",,"1000000","US $1,000,000.00","dobermanboy30",,"","2003-04 SP Signature Edition Rookie INKorporated LeBron James 77/100 BGS 10 Auto","Sports Trading Card",,"https://www.ebay.com/itm/144389574812",,,"Ships from United States","32 watchers",
,,,,,"Brooklyn, New York, United States","175340116458",,"1000000","US $1,000,000.00","enyds",,"","2020 Panini Donruss Optic 13 LeBron James Nebula Choice 1/1  GOAT 👑🐐Holy Grail","Sports Trading Card",,"https://www.ebay.com/itm/175340116458",,,"Ships from United States","24 watchers",
,,,,,"Monroeville, Pennsylvania, United States","134188650365",,"1000000","US $1,000,000.00","designerjewelsbykarina",,"","2004-05 UPPER DECK SP GAME USED MICHAEL JORDAN LOGOMAN 1/1 BGS 9!! HOLY GRAIL","Sports Trading Card",,"https://www.ebay.com/itm/134188650365",,,"Returns accepted","190 watchers",
,,,,,"Rathdrum, Idaho, United States","115554659485",,"1000000","US $1,000,000.00","metzgar7923",,"","2016 Bowmans best atomic refractor auto /25 best of 16 Aaron Judge BGS 9.5 /10","Sports Trading Card",,"https://www.ebay.com/itm/115554659485",,,"Ships from United States","9 watchers",
,,,,,"Lyman, South Carolina, United States","255617536166",,"1000000","US $1,000,000.00","buy-here-save-here",,"One of The Rarest Cards in The World - Near Mint - CSG","1996 Pinnacle Zenith Highlights Dale Earnhardt Seven Wonders Gold Racing Card","Sports Trading Card","Does Not Apply","https://www.ebay.com/itm/255617536166",,,"Ships from United States","26 watchers",
,,,,,"Boone, Iowa, United States","373860061542",,"1000000","US $1,000,000.00","rosters_by_rosterdownloads",,"Serial 1/499 - Redemption Card Included - Scoring Champ","LeBron James 2002-03 Upper Deck Inspirations #156 Holofoil XRC RC Rookie BGS 8.5","Sports Trading Card",,"https://www.ebay.com/itm/373860061542",,,"Ships from United States","6 watchers",
,,,,,"Glendale, Arizona, United States","302752873086",,"995000","US $995,000.00","maximumintegrity",,"","2015 SAM DARNOLD 1/1 ARMY XRC RC AUTO GOLD PSA ROOKIE PATCH AUTOGRAPH COLLECTION","Sports Trading Card","Does not apply","https://www.ebay.com/itm/302752873086",,,"Sale benefits charity","Ships from United States","32 watchers"
,,,,,"Madison, Wisconsin, United States","155057345934",,"1000000","US $1,000,000.00","bmw_cards2",,"","1968 Topps #177 Nolan Ryan (Mets Rookie Stars) SGC 98 GEM MINT 10  HOBBY'S BEST!","Sports Trading Card",,"https://www.ebay.com/itm/155057345934",,,"Free shipping and returns","Ships from United States","49 watchers"
,,,,,"Rochester, New York, United States","321681817562",,"899500","US $899,500.00","fortune1-enterprises",,"","TOM BRADY 2000 Contenders RC AUTO BGS GEM MINT 9.5 / 10 PRISTINE Auto ~ POP 15 ~",,,"https://www.ebay.com/itm/321681817562",,,"Ships from United States","290 watchers",
,,,,,"Delray Beach, Florida, United States","255273400612",,"1000000","US $1,000,000.00","drsportsballz",,"","1998-99 Flair Showcase Tim Duncan The Only 1 of 1 Masterpiece Legacy Collection","Sports Trading Card","Does not apply","https://www.ebay.com/itm/255273400612",,,"50 watchers",,
,,,,,"Costa Mesa, California, United States","155150178694",,"950000","US $950,000.00","clipperazi7",,"","Shohei Ohtani 2018 Topps Transcendent Japan Rookie Auto RC (1st HR) 1/1 BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/155150178694",,,"Ships from United States","11 watchers",
,,,,,"Fort Lauderdale, Florida, United States","333906460497",,"840000","US $840,000.00","thelawer",,"","Babe Ruth Card 1921 - Highest Graded Card in the World!","Sports Trading Card",,"https://www.ebay.com/itm/333906460497",,,"Ships from United States","91 watchers",
,,,,,"Philadelphia, Pennsylvania, United States","325192796919",,"900000","US $900,000.00","arro_isra",,"","1986 Panini Supersport Mike Tyson Boxing Rookie RC #153 ITALIAN VERSION PSA 10!","Sports Trading Card",,"https://www.ebay.com/itm/325192796919",,,"Ships from United States","42 watchers",
,,,,,"Brampton, On, Canada","204143514075",,"1100000","C $1,100,000.00","liquidmarketplace",,"","2000 Playoff Contenders Tom Brady Championship Ticket Rookie BGS 7.5 10 AUTO","Sports Trading Card",,"https://www.ebay.com/itm/204143514075",,,"54 watchers",,
,,,,,"CROSBY CITY, Canada","371797463657",,"789000","US $789,000.00","sidneycrosby87",,"","2005-06 SIDNEY CROSBY HOT PROSPECTS RPA ROOKIE PATCH AUTO /199 BGS 9.5 POP 1/1","Sports Trading Card",,"https://www.ebay.com/itm/371797463657",,,"69 watchers",,
,,,,,"Saint Peters, Missouri, United States","324165986164",,"759000","US $759,000.00","wwldd08",,"","PSA TRUE 1/1! DUAL AUTO CRAZY RAY & CHIEF ZEE DALLAS COWBOYS WASHINGTON REDSKINS","Sports Trading Card",,"https://www.ebay.com/itm/324165986164",,,"14 watchers",,
,,,,,"Rancho Cucamonga, California, United States","154649670732",,"750000","US $750,000.00","billvan23",,"","2019 Panini Obsidian Zion Williamson Color Patch Auto/15 GREEN RC PSA 10 POP 1","Sports Trading Card",,"https://www.ebay.com/itm/154649670732",,,"Ships from United States","8 watchers",
,,,,,"Ontario, California, United States","194647822390",,"750000","US $750,000.00","sports*card*slavik",,"~ ""Smithsonian Masterpiece"" Only Five In the World ~","~BREATHTAKING BGS 10 PRISTINE POP 5 2009 ROOKIE TOPPS CHROME STEPHEN CURRY",,,"https://www.ebay.com/itm/194647822390",,,"Ships from United States","66 watchers",
,,,,,"Bourbonnais, Illinois, United States","284434558461",,"800000","US $800,000.00","ft_treasures",,"","🔥  11/14/1997 Bulls Signed 🔥 MICHAEL JORDAN Ticket Stub vs. Hornets AUTO 1/1 !","Sports Trading Card",,"https://www.ebay.com/itm/284434558461",,,"Ships from United States","11 watchers",
,,,,,"Gatineau, Quebec, Canada","394340522819",,"1000000","C $1,000,000.00","bobaslab",,"","PSA 10 Shaquille O'Neal Gem mint 1997 Collector Choice Starquest Low population","Sports Trading Card",,"https://www.ebay.com/itm/394340522819",,,,,
,,,,,"Middletown, Ohio, United States","304673358827",,"800000","US $800,000.00","pgatourorbust",,"","1997 Topps GOLD Michael Jordan Error PSA 1/1 Not a 10","Sports Trading Card",,"https://www.ebay.com/itm/304673358827",,,"Ships from United States",,
,,,,,"North Hollywood, California, United States","373489580899",,"700000","US $700,000.00","dashy818",,"","1984 signed Olympics Ticket Card Michael Jordan Rookie Autograph Rare 1/1 Auto","Sports Trading Card",,"https://www.ebay.com/itm/373489580899",,,"Ships from United States","41 watchers",
,,,,,"Old Lyme, Connecticut, United States","265417871082",,"650000","US $650,000.00","amyinthekeys",,"PSA 10 / BSG 9.5 certified Tom Brady Rookie Cards.","2000 Tom Brady Rookie card Collection (now 40 cards in total)","Sports Trading Card",,"https://www.ebay.com/itm/265417871082",,,"Ships from United States","113 watchers",
,,,,,"Livonia, Michigan, United States","195513872837",,"700000","US $700,000.00","cardguy444",,"","2000 Tom Brady HoloGold (S/N 06/20) PSA 10 Rookie Collector's Edge Supreme POP 2","Sports Trading Card",,"https://www.ebay.com/itm/195513872837",,,"Ships from United States",,
,,,,,"Halifax, Nova Scotia, Canada","333981184558",,"1000000","C $1,000,000.00","foggytownnb",,"","1985 WWF Hulk Hogan card BGS 9.5","Sports Trading Card","Does not apply","https://www.ebay.com/itm/333981184558",,,"16 watchers",,
,,,,,"Nampa, Idaho, United States","225148828552",,"724008.24","US $724,008.24","thekingofgames70",,"","09-10 Playoff Contenders Championship & Gold Ticket Kobe Bryant Auto BGS  1/1","Sports Trading Card","Does not apply","https://www.ebay.com/itm/225148828552",,,"Returns accepted","Ships from United States",
,,,,,"Elizabeth City, North Carolina, United States","154136929726",,"600000","US $600,000.00","carolinacollectiblecards",,"","2018 Leaf Metal Trevor Lawrence RC #1/1 Flag Wave Etch Super Prismatic #1 DP","Sports Trading Card",,"https://www.ebay.com/itm/154136929726",,,"Ships from United States","53 watchers",
,,,,,"Passaic, New Jersey, United States","363247298491",,"599999.99","US $599,999.99","",,"PROBSTEIN123 is actively accepting CONSIGNMENTS !!","1997-98 UD Game Jerseys Michael Jordan BGS 9.5 w/ 10 AUTO UDA POP 1 NONE HIGHER",,,"https://www.ebay.com/itm/363247298491",,,"216 watchers",,
,,,,,"Beverly Hills, California, United States","115467501529",,"599999.99","US $599,999.99","jt_breaks",,"","2020 National Treasures Justin Herbert FOTL PSA 10/10","Sports Trading Card",,"https://www.ebay.com/itm/115467501529",,,"Ships from United States","58 watchers",
,,,,,"Brooklyn, New York, United States","374324411587",,"599999.95","US $599,999.95","blackjadedwolf",,"","JALEN HURTS 2020 PANINI PRIZM ROOKIE BLACK FINITE RARE SP #1/1 PSA 9/10 AUTO 🔥","Sports Trading Card",,"https://www.ebay.com/itm/374324411587",,,"Ships from United States","87 watchers",
,,,,,"Fort Walton Beach, Florida, United States","144458645625",,"629999.99","US $629,999.99","dobermanboy30",,"","2003 LEBRON JAMES SP Signature Edition INKcredible INK Auto 21/25 RC BGS 9.5 10","Sports Trading Card",,"https://www.ebay.com/itm/144458645625",,,"Ships from United States","17 watchers",
,,,,,"Beverly Hills, California, United States","403211350839",,"528888","US $528,888.00","tmdcollectibles",,"","1986-87 Fleer MICHAEL JORDAN RC Rookie PSA 10 GEM MINT #57 Basketball Bulls HOF","Sports Trading Card",,"https://www.ebay.com/itm/403211350839",,,"Ships from United States","366 watchers",
,,,,,"Fort Walton Beach, Florida, United States","144446293163",,"575000","US $575,000.00","dobermanboy30",,"","2003-04 Topps Chrome Black Refractor Lebron James RC /500 BGS 9 10 9.5 9.5 8.5 !","Sports Trading Card",,"https://www.ebay.com/itm/144446293163",,,"Ships from United States","54 watchers",
,,,,,"Nutley, New Jersey, United States","334009075378",,"513777.95","US $513,777.95","rinasbasement",,"","Khabib Nurmagomedov Auto /25 Panini UFC Champion Signatures MOJO Prizm PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/334009075378",,,"Ships from United States","160 watchers",
"1","1 lot available (64 items per lot)",,,,"San Leandro, California, United States","143604881302",,"527227","US $527,227.00","daniela9379",,"GREATEST MIKE TROUT AUCTION EVER.!!!!!!","(64) Mike Trout 2009-2010-2011 AUTO RC Chrome RED ORANGE GOLD BLUE Refractor LOT","Sports Trading Card",,"https://www.ebay.com/itm/143604881302",,,"Ships from United States","248 watchers",
,,,,,"Gatineau, Quebec, Canada","394350444624",,"1000000","C $1,000,000.00","bobaslab",,"","MAMBA PSA10 Kobe Bryant MAMBA 1998 Alternate Holo Collector's Edge Impulse KB8","Sports Trading Card",,"https://www.ebay.com/itm/394350444624",,,,,
,,,,,"Seville, Ohio, United States","265515510977",,"500000","US $500,000.00","1poohgirl",,"","2006-07 Upper Deck Exquisite Lebron James Michael Jordan Dual Patch Auto 5/5 BGS","Sports Trading Card","Does not apply","https://www.ebay.com/itm/265515510977",,,"Ships from United States","45 watchers",
"2","2 available",,,,"Stamford, Connecticut, United States","154581124538",,"500000","US $500,000.00","home_of_the_graded_mets",,"","2014 Topps Supreme #/10 Jacob DeGrom Rookie Autograph Gem Mint  - POP ONLY 2!!!","Sports Trading Card",,"https://www.ebay.com/itm/154581124538",,,"Ships from United States",,
,,,,,"Dearborn, Michigan, United States","324293562221",,"600000","US $600,000.00","nfarj",,"","Signature Autograph 2003-04 Extreme Rimouski Oceanic Sidney Crosby BAS Auto 1/1","Sports Trading Card",,"https://www.ebay.com/itm/324293562221",,,"Ships from United States",,
,,,,,"San Diego, California, United States","295124497348",,"499999.99","US $499,999.99","9999rbush",,"","1985 Nike Michael Jordan BGS 10 Pristine #2 Rookie RC * pop 4 *",,,"https://www.ebay.com/itm/295124497348",,,"Ships from United States","6 watchers",
,,,,,"Brentwood, Tennessee, United States","254513875988",,"500000","US $500,000.00","cardivoresllc",,"","2013 AARON JUDGE Bowman Chrome Refractor GOLD /50 Auto BGS Black Label Pristine","Sports Trading Card",,"https://www.ebay.com/itm/254513875988",,,"Ships from United States","170 watchers",
,,,,,"Ontario, California, United States","192115443199",,"500000","US $500,000.00","sports*card*slavik",,"BREATHTAKING SHOULD BE IN GETTY MUSEUM AWESOME PSA 10","~MASTERPIECE WOW PSA 10 FINEST REFRACTOR WITH PEEL KOBE BRYANT 1996 ROOKIE TOUGH",,,"https://www.ebay.com/itm/192115443199",,,"Ships from United States","217 watchers",
,,,,,"Rancho Cucamonga, California, United States","154649671369",,"500000","US $500,000.00","billvan23",,"","2018-19 Panini Select Luka Doncic Mavs RC Rookie Tie-Dye AUTO /25 PSA 10 POP 3","Sports Trading Card",,"https://www.ebay.com/itm/154649671369",,,"Ships from United States","17 watchers",
,,,,,"Fairfield, Connecticut, United States","225241496276",,"525500","US $525,500.00","reliable_rahul",,"PSA re-authenticated & encapsulated in 2019","1986-87 Fleer MICHAEL JORDAN HOF RC Rookie PSA 10 GEM MINT #57 Basketball Bulls","Sports Trading Card",,"https://www.ebay.com/itm/225241496276",,,"Ships from United States","90 watchers",
,,,,,"Covington, Louisiana, United States","295231814013",,"502014","US $502,014.00","blackenedgolds",,"","2014 WORLD CUP Prizm LIMITED EDITION Parallel #12 Lionel Messi! PSA 10 GEM! 6/7!","Sports Trading Card",,"https://www.ebay.com/itm/295231814013",,,"Returns accepted","Ships from United States","45 watchers"
,,,,,"Passaic, New Jersey, United States","363948302699",,"500000","US $500,000.00","",,""" GREAT INVESTMENT ""","1997 Totally Certified Platinum Gold #141 Derek Jeter "" JERSEY# "" 2/30 PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/363948302699",,,"Ships from United States","6 watchers",
,,,,,"Passaic, New Jersey, United States","364055097032",,"500000","US $500,000.00","",,"Harper's Holy Grail","2011 Bowman Chrome Gold Canary Diamond 1/1 Bryce Harper RC PSA 10 GEM MINT",,,"https://www.ebay.com/itm/364055097032",,,"Ships from United States","14 watchers",
,,,,,"Passaic, New Jersey, United States","384458246316",,"500000","US $500,000.00","",,""" Adidas Logo Patch  -  One of One !!  -  w/ 10 AUTO ""","2013-14 Select Black Prizm Giannis Antetokounmpo RPA RC PATCH AUTO 1/1 BGS 8",,,"https://www.ebay.com/itm/384458246316",,,"74 watchers",,
,,,,,"Duluth, Georgia, United States","394157601549",,"500000","US $500,000.00","dargar3126",,"","2001 UD Pros & Prospects Kobe Bryant Signature Jerseys Gold AUTO /50 PSA 7 POP 1","Sports Trading Card",,"https://www.ebay.com/itm/394157601549",,,"Ships from United States","11 watchers",
,,,,,"Anchorage, Alaska, United States","133536475766",,"500000","US $500,000.00","xtc907",,"","Kobe Bryant Rookie RC 1996 Topps Finest Atomic Refractor Gold PSA 10 1:288 Packs","Sports Trading Card",,"https://www.ebay.com/itm/133536475766",,,"Ships from United States","182 watchers",
,,,,,"Santaquin, Utah, United States","115565696952",,"500001","US $500,001.00","derekeveritt",,"","steve austin 1992 euroflash wcw sticker card rookie #199 psa 6 pop 1","Sports Trading Card",,"https://www.ebay.com/itm/115565696952",,,"Returns accepted","Ships from United States",
,,,,,"Brighton, Massachusetts, United States","303889267662",,"500000","US $500,000.00","melendew2010",,"","Tom Brady  2000 SP Authentic Rookie Card","Sports Trading Card",,"https://www.ebay.com/itm/303889267662",,,"Ships from United States","68 watchers",
,,,,,"Loveland, Ohio, United States","144254733247",,"500000","US $500,000.00","n8greatcards",,"POP 1 of 1 Complete Set 🐐","1/1 MICHAEL JORDAN Complete 22KT GOLD SET BGS 9","Sports Trading Card",,"https://www.ebay.com/itm/144254733247",,,"Returns accepted","Ships from United States","12 watchers"
"1","1 available",,,,"Hayward, California, United States","174230472914",,"500000","US $500,000.00","imwickedoriginal","1","","Tom Brady Graded Rookie 54 Card LOT 2000 RC BGS & PSA 9 9.5 10 AUTO Signed GOAT","Sports Trading Card",,"https://www.ebay.com/itm/174230472914",,,"Last item available","Ships from United States","90 watchers"
,,,,,"Schenectady, New York, United States","193472038647",,"500000","US $500,000.00","travelpro07",,"","1992 CLASSIC DRAFT PICK SHAQUILLE O'NEAL AUTO RC PSA 10 HOF","Sports Trading Card",,"https://www.ebay.com/itm/193472038647",,,"Ships from United States","34 watchers",
,,,,,"Brooklyn, New York, United States","185513441861",,"500000","US $500,000.00","jaydiamondsports718",,"","2020 PANINI CONTENDERS OPTIC ROY NEBULA JUSTIN HERBERT RC AUTO 2/2 BGS 9 POP 1","Sports Trading Card",,"https://www.ebay.com/itm/185513441861",,,"Ships from United States","11 watchers",
,,,,,"Livonia, Michigan, United States","195172303487",,"500000","US $500,000.00","cardguy444",,"","SUPER RARE 2000 TOM BRADY S/N 14/32 ( FINAL SCORE ) ROOKIE HIGH END PSA 10 POP 3","Sports Trading Card",,"https://www.ebay.com/itm/195172303487",,,"Ships from United States","6 watchers",
,,,,,"Schenectady, New York, United States","191579673532",,"500000","US $500,000.00","travelpro07",,"","1992 CLASSIC DRAFT PICK SHAQUILLE O'NEAL AUTO RC PSA 10 HOF JRSY NUMBER #33 1/1","Sports Trading Card",,"https://www.ebay.com/itm/191579673532",,,"Ships from United States","63 watchers",
,,,,,"Madison, Wisconsin, United States","165554525473",,"500000","US $500,000.00","bmw_cards2",,"","1911-12 C55 Imperial Tobacco #38 Georges Vezina RC PROOF PSA 6.5 One-of-a-kind!","Sports Trading Card",,"https://www.ebay.com/itm/165554525473",,,"Free shipping and returns","Ships from United States","20 watchers"
,,,,,"Largo, Florida, United States","255004889258",,"500000","US $500,000.00","buccaneers245",,"","1993 Topps CMLL Corazon De Leon CHRIS JERICHO Rookie #16 BGS 9.5 Gem AEW Pop 1",,,"https://www.ebay.com/itm/255004889258",,,"Ships from United States","107 watchers",
,,,,,"Tustin, California, United States","224127726039",,"500000","US $500,000.00","lasoccerbreaks",,"","Panini Prizm world cup 2018 Gold Prizm Messi Autograph /10 SUPER RARE & Graded","Sports Trading Card",,"https://www.ebay.com/itm/224127726039",,,"Ships from United States","114 watchers",
