"available","availableText","brand","ean","endedDate","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2","whyToBuy/3","whyToBuy/4","whyToBuy/5"
,,,,,"Milwaukee, Wisconsin, United States","234598219738",,"2000","US $2,000.00","bwras5cardsllc",,"","2017 Panini Select Historic Signatures Mia Hamm Green Prizm Auto /5 BGS 9 USWNT","Sports Trading Card",,"https://www.ebay.com/itm/234598219738",,,,,,,,
,,,,,"Englewood Cliffs, New Jersey, United States","284132797030",,"2000","US $2,000.00","chukingdom",,"","1995 Finest Mystery Bordered Refractor Shaquille O'Neal #M22 PSA 10 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/284132797030",,,"Ships from United States","6 watchers",,,,
,,,,,"Englewood Cliffs, New Jersey, United States","284132795534",,"2000","US $2,000.00","chukingdom",,"","1995 Finest Mystery Bordered Refractor Shaquille O'Neal #M22 PSA 10 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/284132795534",,,"Ships from United States","6 watchers",,,,
,,,,,"West Babylon, New York, United States","134317359496",,"1975","US $1,975.00","dabrakus411",,"","1948 LEAF JOE DIMAGGIO SGC 1.5 NO CREASES GREAT COLOR UNDERGRADED KEY CARD!","Sports Trading Card",,"https://www.ebay.com/itm/134317359496",,,"Ships from United States",,,,,
,,,,,"Baltimore, Maryland, United States","324790106339",,"1999.99","US $1,999.99","andybrezgo76",,"","2018 Panini Flawless Collegiate Sam Darnold Autograph Sick Patch 1/15 BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/324790106339",,,"Ships from United States",,,,,
,,,,,"Smyrna, Georgia, United States","255569696569",,"1999.99","US $1,999.99","gopackgo319",,"","2018 Panini Father's Day Rookie RC /399 Kylian Mbappe France PSG PSA 10 Pop 31","Sports Trading Card",,"https://www.ebay.com/itm/255569696569",,,"Ships from United States","20 watchers",,,,
,,,,,"Kirkland, Quebec, Canada","404039083453",,"1999.99","US $1,999.99","jado-5206",,"","2015-16 National Treasures Devin Booker RC Rookie Jersey 38/99 PSA 10 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/404039083453",,,,,,,,
,,,,,"Coquitlam, British Columbia, Canada","175411348589",,"1999.99","US $1,999.99","jeremy8810",,"","2021 PRIZM UFC GEORGES ST PIERRE SENSATIONAL SIGNATURES MOJO PRIZM 7/25 PSA 10","Sports Trading Card","Does not apply","https://www.ebay.com/itm/175411348589",,,,,,,,
,,,,,"San Mateo, California, United States","285011706545",,"2000","US $2,000.00","bayareaslabs",,"","2021-22 PRIZM GOLD AUTO /10 Jalen Suggs ROOKIE CARD ORLANDO MAGIC GRADED LOW POP",,,"https://www.ebay.com/itm/285011706545",,,"Ships from United States",,,,,
,,,,,"Coquitlam, British Columbia, Canada","175273346560",,"1999.99","US $1,999.99","jeremy8810",,"","2018 TOPPS UFC MUSEUM COLLECTION ISRAEL ADESANYA COPPER /159 RC ROOKIE BGS 9","Sports Trading Card","Does not apply","https://www.ebay.com/itm/175273346560",,,,,,,,
,,,,,"Pawtucket, Rhode Island, United States","175373633311",,"1999","US $1,999.00","fastcashri",,"","1967 Topps AL Rookies Rod Carew Hank Allen 569 PSA 8 (OC) NM-MT Vintage Baseball","Sports Trading Card",,"https://www.ebay.com/itm/175373633311",,,"Returns accepted","Ships from United States",,,,
,,,,,"Mesa, Arizona, United States","114966932189",,"1990","US $1,990.00","pigmonster22",,"","2003-04 Lebron James Upper Deck Rookie Exclusives Jerseys #J1 BGS 9.0 Mint","Sports Trading Card",,"https://www.ebay.com/itm/114966932189",,,,,,,,
,,,,,"Englewood Cliffs, New Jersey, United States","284132793985",,"2000","US $2,000.00","chukingdom",,"","1995 Finest Mystery Bordered Refractor Anfernee Hardaway #M3 PSA 10 - GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/284132793985",,,"Ships from United States","6 watchers",,,,
,,,,,"Bulverde, Texas, United States","125336437391",,"1999.99","US $1,999.99","jeffsportscardcollector",,"","1997 Michael Jordan Bowman’s Best PSA 10 GEM MINT #96 LOW POP RARE FOIL INSERT🔥","Sports Trading Card",,"https://www.ebay.com/itm/125336437391",,,"Ships from United States","5 watchers",,,,
,,,,,"North, South Carolina, United States","334506725136",,"1999.99","US $1,999.99","cowboys928",,"","1989 Upper Deck Star Rookie #1 Ken Griffey Jr PSA 10 GEM MINT 24380658","Sports Trading Card",,"https://www.ebay.com/itm/334506725136",,,"Ships from United States","20 watchers",,,,
,,,,,"Miami, Florida, United States","333985244376",,"1999","US $1,999.00","ernrencu-0",,"","1990 FLEER  LEAGUE LEADERS #14 KEN GRIFFEY JR GEM MINT PSA 10 POP 15 HOF","Sports Trading Card",,"https://www.ebay.com/itm/333985244376",,,"Ships from United States","9 watchers",,,,
,,,,,"Montreal, Quebec, Canada","363994328779",,"2720","C $2,720.00","acfs-allcardsforsale",,"","2001 PARKHURST GORDIE HOWE AUTOGRAPHS PSA AUTH AUTO 10 POP OF 1",,,"https://www.ebay.com/itm/363994328779",,,,,,,,
,,,,,"Ancaster, Ontario, Canada","224783013684",,"1950","US $1,950.00","sloth55",,"","1980-81 O-PEE-CHEE HOCKEY #140 RAY BOURQUE RC   -   PSA  9  -  MINT  (SLOTH55)","Sports Trading Card",,"https://www.ebay.com/itm/224783013684",,,"18 watchers",,,,,
,,,,,"Stenstrup, Denmark","374034359834",,"2000","US $2,000.00","vikasoccercards",,"","Panini Adrenalyn 2017 Ligue 1 Kylian Mbappe #455 SGC 10","Sports Trading Card",,"https://www.ebay.com/itm/374034359834",,,,,,,,
,,,,,"Milwaukee, Wisconsin, United States","234621508959",,"2000","US $2,000.00","bwras5cardsllc",,"","2002-03 Panini Sports Superliga De Estrellas Dani Alves Rookie #432 RC PSA 6","Sports Trading Card",,"https://www.ebay.com/itm/234621508959",,,"Ships from United States",,,,,
,,,,,"Milwaukee, Wisconsin, United States","234779047325",,"2000","US $2,000.00","bwras5cardsllc",,"","1959 Heinerle Lev Jaschin (Yashin) Rookie RC PSA 4","Sports Trading Card",,"https://www.ebay.com/itm/234779047325",,,"Ships from United States","6 watchers",,,,
,,,,,"Stenstrup, Denmark","374245987748",,"2000","US $2,000.00","vikasoccercards",,"","Topps premier gold 2003 Cristiano Ronaldo #MU6 SGC 9","Sports Trading Card",,"https://www.ebay.com/itm/374245987748",,,,,,,,
,,,,,"European Union, Romania","164783659165",,"1999.99","US $1,999.99","geo_1379",,"","2016 Panini Prizm Euro Red Prizm #23 Kevin De Bruyne 036/149 Belgium - PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/164783659165",,,"6 watchers",,,,,
,,,,,"Siu Sai Wan, Hong Kong","204155737799",,"2000","US $2,000.00","waitak",,"","2018-19 Panini Donruss Optic E7 Kylian Mbappe Explosive Silver Holo Prizm PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/204155737799",,,,,,,,
,,,,,"Saint Paul, Minnesota, United States","165366309899",,"2000","US $2,000.00","msp1pjr",,"","Kobe Bryant 1996 Bowmans Best ROOKIE RC #R23 PSA 10 GEM MINT Los Angeles Lakers","Sports Trading Card",,"https://www.ebay.com/itm/165366309899",,,"Ships from United States",,,,,
,,,,,"Beijing, Beijing, China","224752026276",,"1999.99","US $1,999.99","yeovil2010",,"","2016/17 Panini Grand Reserve Number Ones Auto Kyrie Irving 1 of 1 true 1/1",,"Does not apply","https://www.ebay.com/itm/224752026276",,,"12","Watchers",,,,
,,,,,"Beijing, Beijing, China","325361810400",,"1999.99","US $1,999.99","yeovil2010",,"","2020/21 Panini Contenders Optic Historic Rookie Ticket Gold Steven Gerrard 03/10",,"Does not apply","https://www.ebay.com/itm/325361810400",,,"31 watchers",,,,,
,,,,,"Kenosha, Wisconsin, United States","255819897887",,"1999.99","US $1,999.99","pswebauctions",,"","PSA 8  2001 Topps MVP Promotion Drew Brees Rookie RC 100 made only 7 graded READ","Sports Trading Card",,"https://www.ebay.com/itm/255819897887",,,"Ships from United States",,,,,
,,,,,"Rockwall, Texas, United States","225264177236",,"1999.99","US $1,999.99","bbc2gpkcollector",,"","1988 Best Platinum San Bernadino Spirit Ken Griffey Jr. PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/225264177236",,,"Ships from United States",,,,,
,,,,,"Beijing, Beijing, China","324799299214",,"1999.99","US $1,999.99","yeovil2010",,"","2018 Panini Prizm World Cup #282 Pink Sadio Mane PSA 10 4/8 SP Liverpool",,"Does not apply","https://www.ebay.com/itm/324799299214",,,"27 watchers",,,,,
,,,,,"Beijing, Beijing, China","225101113513",,"1999.99","US $1,999.99","yeovil2010",,"","2018 Panini Prizm World Cup Purple Cristiano Ronaldo /99 PSA 9 Portugal",,"Does not apply","https://www.ebay.com/itm/225101113513",,,,,,,,
,,,,,"Libertyville, Illinois, United States","393222795570",,"1999","US $1,999.00","stswa-52",,"","2018 Topps Now Juan Soto Autograph Red 06/10","Sports Trading Card",,"https://www.ebay.com/itm/393222795570",,,"Ships from United States",,,,,
,,,,,"Whitmore Lake, Michigan, United States","234731774414",,"2000","US $2,000.00","kmanmi105",,"","Tua Tagovailoa 2020 Panini Impeccable Football RPA-TT /15 CSG 10/10 POP 2 *READ*","Sports Trading Card",,"https://www.ebay.com/itm/234731774414",,,"Ships from United States",,,,,
,,,,,"Hong Kong, Hong Kong","204109956442",,"1999","US $1,999.00","ysey_63",,"","2017 Panini Nobility Crescent Auto Silver Shevchenko Ukraine Milan BGS 9.5 SSP","Sports Trading Card",,"https://www.ebay.com/itm/204109956442",,,,,,,,
,,,,,"default, default, Hong Kong","165068681824",,"1999.99","US $1,999.99","chicago.bulls-owner",,"","1997 Upper Deck David Beckham England Rookie #18 RC BGS 9.5 Gem Mint Rare SP","Sports Trading Card",,"https://www.ebay.com/itm/165068681824",,,,,,,,
,,,,,"Kansas City, Kansas, United States","125050879481",,"1999.99","US $1,999.99","sport8721",,"","2020 Panini Select #169 Anthony Edwards Purple Die Cut Prizm #/99 PSA10","Sports Trading Card",,"https://www.ebay.com/itm/125050879481",,,"Ships from United States",,,,,
,,,,,"jakarta, Indonesia","313829756357",,"2000","US $2,000.00","nickharmant_0",,"","ZACH LAVINE 2014-15 PRIZM BLUE MOJO BGS 9.5 RC ROOKIE","Sports Trading Card","Does not apply","https://www.ebay.com/itm/313829756357",,,,,,,,
,,,,,"Beijing, Beijing, China","325372797015",,"1999.99","US $1,999.99","yeovil2010",,"","2021/22 Topps Stadium Club Beam Team Black Refractor Auto Jude Bellingham /10 SP",,"Does not apply","https://www.ebay.com/itm/325372797015",,,"11 watchers",,,,,
,,,,,"default, default, Hong Kong","154713378510",,"1999.99","US $1,999.99","chicago.bulls-owner",,"","2009-10 Season Update Stephen Curry RC Beaubois Duals Auto /49 BGS 9 Autograph","Sports Trading Card",,"https://www.ebay.com/itm/154713378510",,,,,,,,
,,,,,"Thailand, Thailand","165360444906",,"2000","US $2,000.00","wizzio_collector",,"","2020-21 Panini Mosaic Serie A Dusan Vlahovic Peacock Prizm PSA10","Sports Trading Card","NA","https://www.ebay.com/itm/165360444906",,,"9 watchers",,,,,
,,,,,"jakarta, Indonesia","314257976850",,"2000","US $2,000.00","nickharmant_0",,"","JAYSON TATUM 2017-18 RC REVOLUTION ROOKIE AUTO BGS 9.5 WITH 2 SUBS 10","Sports Trading Card","Does not apply","https://www.ebay.com/itm/314257976850",,,,,,,,
,,,,,"jakarta, Indonesia","314217815710",,"2000","US $2,000.00","nickharmant_0",,"","MICHAEL JORDAN 1995-96 FLAIR HOT NUMBERS BGS 9.5 TRUE GEM WITH SUB 10","Sports Trading Card","Does not apply","https://www.ebay.com/itm/314217815710",,,,,,,,
,,,,,"Giulianova, Italy","154904914750",,"1999.99","US $1,999.99","giulianova69",,"","2020-21 Topps Lost Rookies Ryan Giggs Parallel Orange /5 SGC 9 Mint POP1","Sports Trading Card",,"https://www.ebay.com/itm/154904914750",,,,,,,,
,,,,,"Fort Lauderdale, Florida, United States","363883310171",,"1999.99","US $1,999.99","markinsofla",,"PSA Population of 35 in a PSA Gem Mint 10.","2000 Fleer Ultra Kobe Bryant Los Angeles Lakers GOLD MEDALLION #10G PSA 10 💎 MT","Sports Trading Card","Does not apply","https://www.ebay.com/itm/363883310171",,,"Ships from United States","8 watchers",,,,
,,,,,"Berlin, Germany","354028305532",,"1999","US $1,999.00","jackstradingcardcollection",,"","2020-21 contenders TYRESE MAXEY premium edition autograph PSA 10/10","Sports Trading Card",,"https://www.ebay.com/itm/354028305532",,,"8 watchers",,,,,
,,,,,"Las Vegas, Nevada, United States","392978738769",,"2000","US $2,000.00","wildc_9376",,"","2015 Panini Spectra TEAM TRIOS OAKLAND RAIDERS GOLD Derik Carr/Cooper/Mack Pop1","Sports Trading Card",,"https://www.ebay.com/itm/392978738769",,,"Ships from United States",,,,,
,,,,,"jakarta, Indonesia","314194647803",,"2000","US $2,000.00","nickharmant_0",,"","MICHAEL JORDAN 1998-1999 SKYBOX SOUL OF THE GAME PSA 9 RARE ITEM","Sports Trading Card","Does not apply","https://www.ebay.com/itm/314194647803",,,,,,,,
,,,,,"Silver Spring, Maryland, United States","304033996669",,"2000","US $2,000.00","house.of.trout",,"","2018 Panini World Cup Kylian Mbappe Stickers Gold PSA 10 LOW POP","Sports Trading Card",,"https://www.ebay.com/itm/304033996669",,,"Ships from United States","15 watchers",,,,
,,,,,"Metairie, Louisiana, United States","254911884225",,"2000","US $2,000.00","wild21cards",,"","2007-08 Topps Chrome #131 Kevin Durant Supersonics RC Rookie PSA 9 HIGH END Nets","Sports Trading Card",,"https://www.ebay.com/itm/254911884225",,,"Ships from United States",,,,,
,,,,,"Franklin Square, New York, United States","374144872966",,"2000","US $2,000.00","stdo1660",,"","2019 panini flawless rookie shadow signatures Kyler Murray /25 bgs 9.5 gem mint","Sports Trading Card",,"https://www.ebay.com/itm/374144872966",,,"Ships from United States",,,,,
,,,,,"Los Angeles, California, United States","233941480983",,"2000","US $2,000.00","gi-jamey",,"","2019 Panini Obsidian Nikola Jokic, Matrix Auto, 9/10, PSA 10, Pop 1","Sports Trading Card",,"https://www.ebay.com/itm/233941480983",,,"Ships from United States",,,,,
,,,,,"Dewitt, Michigan, United States","275323155332",,"2000","US $2,000.00","1gnisirstars",,"","2014 Totally Certified Andrew Wiggins Rookie Auto Mirror  /25 Pop 3 2 Card Lot","Sports Trading Card",,"https://www.ebay.com/itm/275323155332",,,"Ships from United States",,,,,
,,,,,"Laval, Quebec, Canada","134340890597",,"2000","US $2,000.00","canadian_rookies",,"","2016-17 Upper Deck Auston Matthews Young Guns RC PSA10 GEM MINT",,,"https://www.ebay.com/itm/134340890597",,,,,,,,
,,,,,"North Hollywood, California, United States","265172162890",,"2000","US $2,000.00","silent.collector",,"","🔥Dirk Nowitzki Rookie AUTO POP 1 Ovation #79 ON CARD AUTO PSA Highest Grade🔥","Sports Trading Card",,"https://www.ebay.com/itm/265172162890",,,"Ships from United States",,,,,
,,,,,"North Hollywood, California, United States","265322609102",,"2000","US $2,000.00","silent.collector",,"","Josh Allen - Rookie Gold Zone 29/50 💥BGS 9.5💥 - 2018 Score Honors","Sports Trading Card",,"https://www.ebay.com/itm/265322609102",,,"Ships from United States","8 watchers",,,,
,,,,,"North Hollywood, California, United States","265660833837",,"2000","US $2,000.00","silent.collector",,"","2018-2019 PANINI Certified Future LUKA DONCIC RC #3 BGS 10 RARE Rookie","Sports Trading Card",,"https://www.ebay.com/itm/265660833837",,,"Ships from United States",,,,,
,,,,,"North Hollywood, California, United States","265067197195",,"2000","US $2,000.00","silent.collector",,"","Lamar Jackson / Baker Mayfield - DUAL ROOKIE AUTO 11/25 BGS 9.5 AUTO 10 Flawless","Sports Trading Card",,"https://www.ebay.com/itm/265067197195",,,"Ships from United States",,,,,
,,,,,"North Hollywood, California, United States","265693173803",,"2000","US $2,000.00","silent.collector",,"","Kyler Murray Immaculate Quad Jerseys Platinum /5 #IQJ1 PSA 8 2019 Panini","Sports Trading Card",,"https://www.ebay.com/itm/265693173803",,,"Ships from United States",,,,,
,,,,,"Las Vegas, Nevada, United States","394186920650",,"2000","US $2,000.00","wildc_9376",,"","2003-04 UD  Triple Dimensions 3- D Jerseys Michael Jordan SP #/249 PSA 9🔥 Pop 3","Sports Trading Card",,"https://www.ebay.com/itm/394186920650",,,"Ships from United States",,,,,
,,,,,"Hsinchu, Taiwan","125636497776",,"2000","US $2,000.00","ketek_0",,"","2018 Leaf Grand Slam Tennis Serena Williams Auto BGS 9 Auto 10",,,"https://www.ebay.com/itm/125636497776",,,,,,,,
,,,,,"Putnam Valley, New York, United States","394048442120",,"2000","US $2,000.00","kennbahi-0",,"","🏀⭐️ Giannis Antetokounmpo rc BGS 9.5 Panini Prizm [ x2 10 SUB GRADES ]   PSA","Sports Trading Card",,"https://www.ebay.com/itm/394048442120",,,,,,,,
,,,,,"Milwaukee, Wisconsin, United States","234806107634",,"2000","US $2,000.00","bwras5cardsllc",,"","2005 Ultimate Collection Sidney Crosby Signatures Auto Rookie RC PSA 9 Penguins",,,"https://www.ebay.com/itm/234806107634",,,"Ships from United States","9 watchers",,,,
,,,,,"Milwaukee, Wisconsin, United States","234797884041",,"2000","US $2,000.00","bwras5cardsllc",,"","2018 Panini Select Copper Prizm Field Lamar Jackson Rookie #205 RC /75 PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/234797884041",,,"Ships from United States",,,,,
,,,,,"TAIPEI, Taiwan","203576518572",,"2000","US $2,000.00","weiwei959",,"","2002-03 Topps Chrome Yao Ming Rc Refractor #146A BGS 9 Houston Rockets HOF",,,"https://www.ebay.com/itm/203576518572",,,,,,,,
,,,,,"Rockford, Illinois, United States","403979664677",,"2000","US $2,000.00","mcvikes",,"","1989 Upper Deck Ken Griffey Jr Autographed Signed BGS 8 9 NM-MINT Rookie Card RC","Sports Trading Card",,"https://www.ebay.com/itm/403979664677",,,"Ships from United States",,,,,
,,,,,"Allen, Texas, United States","203947113005",,"2000","US $2,000.00","bella.and.indys.closet.llc",,"","2019 Panini Contenders Mason Mount Cracked Ice Rookie Ticket 10/23 PSA 8 England","Sports Trading Card","Does not apply","https://www.ebay.com/itm/203947113005",,,"Ships from United States","7 watchers",,,,
,,,,,"Wan Chai, Hong Kong","134086494354",,"1999.99","US $1,999.99","reject_him",,"","LeBron James 2019-20 Panini Prizm Blue Ice 91/99 BGS 9.5 (9.5 9.5 10 9.5)","Sports Trading Card",,"https://www.ebay.com/itm/134086494354",,,"Returns accepted",,,,,
,,,,,"Paducah, Kentucky, United States","164157867309",,"2000","US $2,000.00","jbstrenge",,"","2011 Bowman Chrome Paul Goldschmidt Blue Refractor Auto 35/150 BGS 9.5/10","Sports Trading Card",,"https://www.ebay.com/itm/164157867309",,,"Ships from United States","17 watchers",,,,
,,,,,"Franklin, Tennessee, United States","224426215301",,"2000","US $2,000.00","5freels",,"","2003 Tom Brady Etopps-SP-His rarest Etopps card-SGC 10 Pristine-Only 665 Issued!","Topps",,"https://www.ebay.com/itm/224426215301",,,"Returns accepted","Ships from United States","6 watchers",,,
,,,,,"default, Hong Kong","184704089783",,"2000","US $2,000.00","coolerman2017",,"","Anthony Daivs 2019-20 Flawless Execellence Signatures Auto 24/25 PSA 10 POP 1","Sports Trading Card","Does not apply","https://www.ebay.com/itm/184704089783",,,,,,,,
,,,,,"Wan Chai, Hong Kong","144764825221",,"1999.99","US $1,999.99","reject_him",,"","Devonta Smith RC 2020 Panini Select 2021 XRC Gold Prizm 10/10 PSA 10 POP 2","Sports Trading Card",,"https://www.ebay.com/itm/144764825221",,,"Returns accepted","5 watchers",,,,
,,,,,"Winter Garden, Florida, United States","134198121826",,"1999.99","US $1,999.99","pop2_cards",,"","DL Hall 2017 Bowman Chrome Orange Auto /25 BGS 9.5 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/134198121826",,,"Ships from United States",,,,,
,,,,,"Wan Chai, Hong Kong","133819575452",,"1999.99","US $1,999.99","reject_him",,"","Eloy Jimenez 2017 Bowman Chrome Prospect Auto Orange Shimmer Refractor /25 PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/133819575452",,,"Returns accepted","8 watchers",,,,
,,,,,"taguig city metro manila, Philippines","185488678357",,"2000","US $2,000.00","cardbrothersph",,"","1997-98 z-force rave kobe bryant #88 248/399 bgs 9 jersey numbered?","Sports Trading Card",,"https://www.ebay.com/itm/185488678357",,,"9 watchers",,,,,
,,,,,"Watertown, Massachusetts, United States","363668230543",,"1999.99","US $1,999.99","sportschampioncards",,"","LeBRON JAMES 2017-18 PANINI SELECT #222 COURTSIDE SILVER PRIZM PSA 9 MINT","Sports Trading Card",,"https://www.ebay.com/itm/363668230543",,,"Ships from United States",,,,,
,,,,,"Buffalo Grove, Illinois, United States","283959138053",,"1999.99","US $1,999.99","e3sports",,"","1972 Topps #195 - Julius ERVING - PSA / DNA 10 AUTO Grade +++ RC HOF Sixers",,,"https://www.ebay.com/itm/283959138053",,,"Returns accepted","Ships from United States","31 watchers",,,
,,,,,"Watertown, Massachusetts, United States","144473101456",,"1999.99","US $1,999.99","sportschampioncards",,"","MICHAEL JORDAN 1997-98 UPPER DECK GREAT EIGHT #293/800 BULLS PSA 9 MINT","Sports Trading Card",,"https://www.ebay.com/itm/144473101456",,,"Ships from United States","14 watchers",,,,
