"available","availableText","brand","ean","endedDate","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2","whyToBuy/3","whyToBuy/4","whyToBuy/5"
,,,,,"Stenstrup, Denmark","373915694089",,"2000","US $2,000.00","vikasoccercards",,"","Panini World cup 1970 Gerd Muller SGC low pop","Sports Trading Card",,"https://www.ebay.com/itm/373915694089",,,,,,,,
,,,,,"USA, United States","275431009111",,"1999.95","US $1,999.95","signature.sports",,"","2019 BOWMAN CHROME PROSPECTS JULIO RODRIGUEZ AUTO SIGNED #BCP33 PSA 10 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/275431009111",,,"Ships from United States","7 watchers",,,,
,,,,,"Miami, Florida, United States","234422533138",,"2000","US $2,000.00","acsalesdirect2009",,"","2020 Mosaic Joe Burrow NFL Debut Genesis Prizm SP Rookie RC #261 PSA 10 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/234422533138",,,"Ships from United States","8 watchers",,,,
,,,,,"Valparaiso, Indiana, United States","224529464944",,"1999.99","US $1,999.99","tammiemk0",,"","2018 Panini Prizm Trae Young Rookie RC Signatures Choice Prizm Autograph PSA 9!!","Sports Trading Card",,"https://www.ebay.com/itm/224529464944",,,,,,,,
,,,,,"Agnelli, Italy","393324737888",,"2000","US $2,000.00","alessse-6172",,"","2004 Panini Sports Mega Cracks Barça Lionel Messi ROOKIE #89 BGS 8,5 NEAR MINT+","Sports Trading Card",,"https://www.ebay.com/itm/393324737888",,,"8 watchers",,,,,
,,,,,"Las Vegas, Nevada, United States","393207338123",,"2000","US $2,000.00","wildc_9376",,"","1997 Bowman’s Best Tim Duncan RC REFRACTOR Best Picks Rookie PSA 9 Mint🔥 5x🏆📈","Sports Trading Card",,"https://www.ebay.com/itm/393207338123",,,"Ships from United States",,,,,
,,,,,"Mueang Rayong, Thailand","234775681763",,"2000","US $2,000.00","finnfin1688",,"","2018 panini contender optic Michael Porter JR. Shoe Viseble 081/149 Red PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/234775681763",,,,,,,,
,,,,,"Buffalo Grove, Illinois, United States","275167059718",,"1999.99","US $1,999.99","e3sports",,"","1986 Topps #85 Jackie SLATER - PSA 10+++ HOF Rams - pop 5","Sports Trading Card",,"https://www.ebay.com/itm/275167059718",,,"Returns accepted","Ships from United States",,,,
,,,,,"Buffalo Grove, Illinois, United States","284612221412",,"1999.99","US $1,999.99","e3sports",,"","1983 Donruss #586 Wade BOGGS - PSA 10+++ DNA RC HOF Red Sox Auto","Sports Trading Card",,"https://www.ebay.com/itm/284612221412",,,"Returns accepted","Ships from United States","5 watchers",,,
,,,,,"Redondo Beach, California, United States","384515334385",,"1999.99","US $1,999.99","isell_treasures",,"","Kobe Bryant Signed Upper Deck Rookie Card Autographed Framed Authenticated w COA","Sports Trading Card",,"https://www.ebay.com/itm/384515334385",,,"Sale benefits charity","Ships from United States",,,,
,,,,,"Dearborn, Michigan, United States","125383787466",,"2000","US $2,000.00","getmoney2132",,"","2019 Bowman Chrome RILEY GREENE Refractor /499 Auto Rookie Card 🥵🔥","Sports Trading Card",,"https://www.ebay.com/itm/125383787466",,,"Ships from United States",,,,,
,,,,,"SAINT-HUBERT, Canada","125623866885",,"2000","US $2,000.00","bgl_27",,"","1952 Bowman Mickey Mantle #101 BVG 1.5","Sports Trading Card",,"https://www.ebay.com/itm/125623866885",,,"10 watchers",,,,,
,,,,,"Buffalo Grove, Illinois, United States","275286760304",,"1999.99","US $1,999.99","e3sports",,"","1985 Topps #620 Dwight GOODEN - PSA 10+++ DNA RC Mets Auto","Sports Trading Card",,"https://www.ebay.com/itm/275286760304",,,"Returns accepted","Ships from United States","11 watchers",,,
,,,,,"Bulverde, Texas, United States","124749378353",,"1999.99","US $1,999.99","jeffsportscardcollector",,"","Peyton Manning auto RC 1998 Collectors Edge Blue Ink ROOKIE autograph BGS 8.5 🔥","Sports Trading Card",,"https://www.ebay.com/itm/124749378353",,,"Ships from United States","7 watchers",,,,
,,,,,"Buffalo Grove, Illinois, United States","284883934296",,"1999.99","US $1,999.99","e3sports",,"","1989 Score Traded #100T Ken GRIFFEY Jr - PSA 10+++ DNA RC Mariners Auto","Sports Trading Card",,"https://www.ebay.com/itm/284883934296",,,"Returns accepted","Ships from United States",,,,
,,,,,"Buffalo Grove, Illinois, United States","284883919428",,"1999.99","US $1,999.99","e3sports",,"","1989 Fleer Update #U-59 Randy JOHNSON - PSA 10+++ Mariners DNA RC Auto - pop 2","Sports Trading Card",,"https://www.ebay.com/itm/284883919428",,,"Returns accepted","Ships from United States",,,,
,,,,,"Bulverde, Texas, United States","124749441311",,"1999.99","US $1,999.99","jeffsportscardcollector",,"","Michael Jordan Anticipation BGS Gem Mint 9.5 non auto RARE 90's Insert HOT 3x9.5","Sports Trading Card",,"https://www.ebay.com/itm/124749441311",,,"Ships from United States",,,,,
,,,,,"Temecula, California, United States","154975830279",,"1999.99","US $1,999.99","kimmy31960",,"","2015 Bowman Chrome - BGS 9.5 GEM MINT - RAFAEL DEVERS, 01/50 GOLD REFRAC. #BCP34","Sports Trading Card",,"https://www.ebay.com/itm/154975830279",,,"Ships from United States",,,,,
,,,,,"Buffalo Grove, Illinois, United States","275155253064",,"1999.99","US $1,999.99","e3sports",,"","1986 Topps #255 - Boomer ESIASON - PSA 10+++ RC Bengals","Sports Trading Card",,"https://www.ebay.com/itm/275155253064",,,"Returns accepted","Ships from United States","6 watchers",,,
,,,,,"Karama, NT, Australia","234511964101",,"1999.9","US $1,999.90","hayes0812",,"","2021 Panini UFC Prizm Khamzat Chimaev 9.0 Graded 029/275 Red RC Parallel","Sports Trading Card",,"https://www.ebay.com/itm/234511964101",,,,,,,,
,,,,,"Halifax, Nova Scotia, Canada","255724713652",,"2000","US $2,000.00","sacktowncards",,"","2021 Topps Chrome Formula 1 F1 Green Refractor Oscar Piastri AUTO 34/99 PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/255724713652",,,"7 watchers",,,,,
,,,,,"Dearborn, Michigan, United States","124764045685",,"1999.99","US $1,999.99","getmoney2132",,"","Trae Young Bronze Auto 2019/20 Panini Contenders Auto 24/25 PSA 10 POP 1🔥","Sports Trading Card",,"https://www.ebay.com/itm/124764045685",,,"Ships from United States",,,,,
