"available","availableText","brand","ean","endedDate","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2","whyToBuy/3","whyToBuy/4","whyToBuy/5"
,,,,,"Bothell, Washington, United States","115571782343",,"2995","US $2,995.00","mambaout2020",,"","2014 DONRUSS ALL-STAR WRAPPER REDEMPTION STEPHEN CURRY AUTO BGS 8.5/9 SSP","Sports Trading Card",,"https://www.ebay.com/itm/115571782343",,,"Ships from United States",,,,,
,,,,,"Parker, Colorado, United States","124699423387",,"2998","US $2,998.00","cardsandcoins579",,"","1986 Topps #161 Jerry Rice Rookie RC Graded 10 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/124699423387",,,"Ships from United States","5 watchers",,,,
,,,,,"Branford, Connecticut, United States","115223249136",,"2995","US $2,995.00","ctyankee7",,"","2012 Topps Chrome RC Rookie Russell Wilson Auto Gem Mint PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/115223249136",,,"Ships from United States","12 watchers",,,,
,,,,,"Mililani, Hawaii, United States","384497532022",,"2995","US $2,995.00","jorqu8248",,"","2020 Panini Donruss Optic Justin Herbert DOWNTOWN Prizm SSP PSA 9 DT-31 Chargers","Sports Trading Card",,"https://www.ebay.com/itm/384497532022",,,"Ships from United States","37 watchers",,,,
,,,,,"Fall River, Massachusetts, United States","255593424886",,"2995","US $2,995.00","twolucky",,"","2019 PANINI DONRUSS TOM BRADY PRESS PROOF GOLD 12/50 PSA 10 POP 1 Jersey # 12","Sports Trading Card",,"https://www.ebay.com/itm/255593424886",,,"Ships from United States",,,,,
,,,,,"Fort Lauderdale, Florida, United States","134099740341",,"2995","US $2,995.00","bballerac15",,"","2021-22 Futera Fans Selection VORTEX Cristiano Ronaldo Portugal 1/1 PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/134099740341",,,"23","Watchers",,,,
,,,,,"Charlotte, North Carolina, United States","184422794657",,"2995","US $2,995.00","jaypmic",,"","Zion Williamson 2019 Donruss Purple/Green RC Laser 2/10 PSA10 GEM MINT  b","Sports Trading Card",,"https://www.ebay.com/itm/184422794657",,,"Ships from United States","10 watchers",,,,
,,,,,"Jacksonville, Florida, United States","175509634138",,"2995","US $2,995.00","flsportsguy",,"","2019 Panini Select PATRICK MAHOMES PSA 10 Signatures Auto Prizm 4/15","Sports Trading Card",,"https://www.ebay.com/itm/175509634138",,,"Ships from United States","20 watchers",,,,
,,,,,"Massapequa Park, New York, United States","185225826709",,"2995","US $2,995.00","hotlips1983-0786",,"","2009 Donruss Limited Material Monikers Prime 1/10 1/1  Barry Sanders BGS 9.5/10","Sports Trading Card",,"https://www.ebay.com/itm/185225826709",,,"Ships from United States",,,,,
,,,,,"Watertown, Massachusetts, United States","402772840276",,"2995","US $2,995.00","krsull-21",,"","2017/18 Panini Perfect 10 Autographs Kevin Durant 26/49 BGS 9.5 GEM MINT 10 Auto","Sports Trading Card",,"https://www.ebay.com/itm/402772840276",,,"Ships from United States",,,,,
,,,,,"Landisville, Pennsylvania, United States","204175306126",,"2995","US $2,995.00","ahalliday",,"","2020 Ja morant Select Neon Green Auto /35 PSA 10 🔥","Sports Trading Card",,"https://www.ebay.com/itm/204175306126",,,"Ships from United States",,,,,
,,,,,"Wallingford, Connecticut, United States","184740411613",,"2995","US $2,995.00","hacksaw14",,"","2017 Donruss Optic Patrick Mahomes II #177 RC Rookie PSA 10 Chiefs Rated Rookie","Sports Trading Card",,"https://www.ebay.com/itm/184740411613",,,"Ships from United States",,,,,
,,,,,"Wilmington, Massachusetts, United States","125094149800",,"2995","US $2,995.00","jvizzy22",,"","2018 Topps Chrome Sapphire Shohei Ohtani Rookie SP BGS 9.5 Angels RC #700","Sports Trading Card",,"https://www.ebay.com/itm/125094149800",,,"19","Watchers",,,,
,,,,,"Canonsburg, Pennsylvania, United States","175392090915",,"2995","US $2,995.00","joelzoewar2015",,"","2020 National Treasures Joe Burrow RPA Prodigy 2 Color 2/99 Grade 9.0","Sports Trading Card",,"https://www.ebay.com/itm/175392090915",,,"Ships from United States",,,,,
,,,,,"Orlando, Florida, United States","363899917081",,"2995","US $2,995.00","bot9th",,"","2017 Donruss Optic Holo Prizm #177 Patrick Mahomes II RC Rookie PSA 10 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/363899917081",,,"Ships from United States",,,,,
,,,,,"Cibolo, Texas, United States","284355978960",,"2995.95","US $2,995.95","kespatt_77",,"","2018 Panini Fathers Day Future Frames #1/10 Shohei Ohtani Rookie Card RC HGA 9.5","Sports Trading Card",,"https://www.ebay.com/itm/284355978960",,,"Ships from United States","10 watchers",,,,
,,,,,"New York, New York, United States","175451742857",,"2995","US $2,995.00","alamehr",,"","2013-14 Panini Flawless Super Signatures Larry Bird Celtics Auto 1/1 One Of One!","Sports Trading Card",,"https://www.ebay.com/itm/175451742857",,,"Ships from United States","8 watchers",,,,
,,,,,"Minneapolis, Minnesota, United States","363850239080",,"2995","US $2,995.00","realassetcollectibles",,"","2001 Brown's Boxing Vitali Klitschko Rookie RC Card PSA 10 GEM (Pop 1!)","Sports Trading Card",,"https://www.ebay.com/itm/363850239080",,,"Ships from United States",,,,,
,,,,,"East Rutherford, New Jersey, United States","325368128555",,"2995","US $2,995.00","thriftnicks",,"","2001 Sage Drew Brees Rookie RC AUTO PLATINUM #31/40 PSA 9 Saints POP 1 💥 RARE","Sports Trading Card",,"https://www.ebay.com/itm/325368128555",,,"Ships from United States",,,,,
,,,,,"Bourbonnais, Illinois, United States","304639292509",,"2995","US $2,995.00","dabulls1982",,"","Mike Trout RC 2009 #59 Donruss auto signed #66/200 RC Rookie grade “10” Auto!","Sports Trading Card",,"https://www.ebay.com/itm/304639292509",,,"Ships from United States",,,,,
,,,,,"Beverly Hills, California, United States","155137055649",,"2995","US $2,995.00","nelsonfelson2020",,"","1960 Topps Mickey Mantle #350 BVG 7 NM Near Mint HIGH END","Sports Trading Card",,"https://www.ebay.com/itm/155137055649",,,"Ships from United States",,,,,
,,,,,"Charlotte, North Carolina, United States","185473535504",,"2995","US $2,995.00","jaypmic",,"","2020 Topps Finest Flashback Yordan Alvarez RED REFRACTOR RC 5/5 BGS 9.5  b","Sports Trading Card",,"https://www.ebay.com/itm/185473535504",,,"Ships from United States","14 watchers",,,,
,,,,,"Beverly Hills, California, United States","155141262390",,"2995","US $2,995.00","nelsonfelson2020",,"","1950 Dairylea Decals Mickey Mantle BVG 7 NM Near Mint RARE HIGH END","Sports Trading Card",,"https://www.ebay.com/itm/155141262390",,,"Ships from United States",,,,,
,,,,,"Beverly Hills, California, United States","155149492374",,"2995","US $2,995.00","nelsonfelson2020",,"","1959 Bazooka Mickey Mantle SGC A Authentic","Sports Trading Card",,"https://www.ebay.com/itm/155149492374",,,"Ships from United States",,,,,
,,,,,"Lehi, Utah, United States","195513654035",,"899","US $899.00US $2,995.00","kelsoinutah",,"","GEM Mint Tom Brady Zebra Die-Cut 2020 Select - Highest Grade In Existence","Sports Trading Card",,"https://www.ebay.com/itm/195513654035",,,"Ships from United States",,,,,
,,,,,"Pleasant Grove, Utah, United States","294158206096",,"2995","US $2,995.00","*phillythekid*",,"","1988 Fleer John Stockton #115 PSA 10 Gem Mint Rookie Card RC Utah Jazz HOF","Sports Trading Card",,"https://www.ebay.com/itm/294158206096",,,"Ships from United States",,,,,
,,,,,"Charlotte, North Carolina, United States","304404466077",,"2995","US $2,995.00","prestigeautographs",,"","1991 Classic Undertaker #64 WWF Rookie RC SGC 9.5 WWE HOF 2022","Sports Trading Card",,"https://www.ebay.com/itm/304404466077",,,"Ships from United States",,,,,
,,,,,"Greendale, Wisconsin, United States","265222329150",,"2995","US $2,995.00","khenders430",,"","BRETT FAVRE 1/1 Auto PSA 10 2007 sp chirography football heroes sapphire GM-MT","Sports Trading Card",,"https://www.ebay.com/itm/265222329150",,,"Ships from United States",,,,,
,,,,,"Bellevue, Washington, United States","115595277615",,"2995","US $2,995.00","mambaout2020",,"","Stephen Curry 2012 Panini National Treasures Game Worn Patch /99 PSA 10 Pop 2 💎","Sports Trading Card",,"https://www.ebay.com/itm/115595277615",,,,,,,,
,,,,,"Naperville, Illinois, United States","353545180361",,"2999","US $2,999.00","esbeauctions",,"","2019 Bowman's Best Autographs Wander Franco #27/100    BGS 10 PRISTINE  POP 6","Sports Trading Card",,"https://www.ebay.com/itm/353545180361",,,"Returns accepted","Ships from United States",,,,
,,,,,"Benton, Kentucky, United States","234549241587",,"3000","US $3,000.00","rulesplanet",,"","1997 Metal Universe #81 Kobe Bryant Lakers PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/234549241587",,,"7","Watchers",,,,
,,,,,"Crisfield, Maryland, United States","295090159670",,"3000","US $3,000.00","cwalston108",,"","PSA 9 - 2020 Topps Chrome Formula 1 F1 Sapphire 70th #113 Scuderia Ferrari /70","Sports Trading Card",,"https://www.ebay.com/itm/295090159670",,,"Ships from United States","10 watchers",,,,
,,,,,"Windham, New Hampshire, United States","195047908427",,"3000","US $3,000.00","goodridge",,"","2020 Panini Select Justin Herbert Premier Red Disco Prizm #/49 PSA 10 GM Rookie","Sports Trading Card",,"https://www.ebay.com/itm/195047908427",,,"Ships from United States",,,,,
,,,,,"Lockport, New York, United States","285036365123",,"3000","US $3,000.00","bjer6819",,"","2021-22  Prizm Jalen Green White Sparkle Rookie-SSP BGS9-POP1**SALE**","Sports Trading Card",,"https://www.ebay.com/itm/285036365123",,,"Ships from United States","7 watchers",,,,
,,,,,"Portland, Oregon, United States","255823746776",,"3000","US $3,000.00","smoke87sportscardsllc",,"","2013 Topps SP Tim Tebow w/  Tom Brady PSA 10 SSSP Insert Tebow PSA 10 Gem Mint","Sports Trading Card",,"https://www.ebay.com/itm/255823746776",,,"Ships from United States",,,,,
,,,,,"Morgantown, West Virginia, United States","284894055880",,"3000","US $3,000.00","sierralegacysales",,"","2021 Justin Herbert Panini Mosaic GOLD Prizm 10/10 Chargers JERSEY NUMBER PSA8.5","Sports Trading Card",,"https://www.ebay.com/itm/284894055880",,,"Ships from United States","6 watchers",,,,
,,,,,"Las Vegas, Nevada, United States","363978682460",,"3000","US $3,000.00","psa-set-registry",,"","LARRY BIRD 2015 PANINI FLAWLESS DUAL PATCH AUTOGRAPH AUTO /18 BGS 9 10 CELTICS","Sports Trading Card",,"https://www.ebay.com/itm/363978682460",,,"Ships from United States","14 watchers",,,,
,,,,,"Cleveland, Ohio, United States","314228583670",,"3000","US $3,000.00","js.sportscards",,"","2018 Panini Illustions PATRICK MAHOMES KAREEM HUNT Dual Auto 1/1 BGS 8.5/10","Sports Trading Card",,"https://www.ebay.com/itm/314228583670",,,"Ships from United States",,,,,
,,,,,"Osseo, Minnesota, United States","334401481289",,"3000","US $3,000.00","andbar-4671",,"","2021 Mosaic Football Tom Brady Blue Fluorescent 186 11/15 - PSA 10 - Pop 1","Sports Trading Card",,"https://www.ebay.com/itm/334401481289",,,"Ships from United States","5 watchers",,,,
,,,,,"Worth, Illinois, United States","333728262114",,"2995","US $2,995.00","bulldogsportsmemorabilia",,"","2019 Panini Contenders Optic Drew Lock Rookie Ticket Auto /50 Orange PSA 10 GEM",,,"https://www.ebay.com/itm/333728262114",,,"Ships from United States","8 watchers",,,,
,,,,,"Las Vegas, Nevada, United States","363870934919",,"3000","US $3,000.00","psa-set-registry",,"","JOE BURROW 2020 PANINI ONE #1 3-COLOR PREMIUM PATCH AUTO ROOKIE RC /99 BGS 9 10","Sports Trading Card",,"https://www.ebay.com/itm/363870934919",,,"Ships from United States","17 watchers",,,,
,,,,,"Watertown, Tennessee, United States","304521624315",,"2995","US $2,995.00","aflackelsey",,"","2017 Jayson Tatum Panini Donruss Optic Fast Break Auto #198 PSA 10 pop 14!","Sports Trading Card",,"https://www.ebay.com/itm/304521624315",,,"Ships from United States",,,,,
,,,,,"Crisfield, Maryland, United States","295091110455",,"3000","US $3,000.00","cwalston108",,"","2022 Bowman Chrome Sapphire Denzer Guzman Auto Green /50 PSA 10 Auto 10 Pop 1!","Sports Trading Card",,"https://www.ebay.com/itm/295091110455",,,"Ships from United States",,,,,
,,,,,"Danville, Virginia, United States","125311941798",,"3000","US $3,000.00","sspatches",,"","BGS 8.5 1990 PRO SET JOE MONTANA #293 ERROR CARD BLANK BACK","Sports Trading Card",,"https://www.ebay.com/itm/125311941798",,,"Ships from United States",,,,,
,,,,,"Beverly Hills, California, United States","155141190719",,"2995","US $2,995.00","nelsonfelson2020",,"","1980-81 Topps Larry Bird Magic Johnson Rookie BVG 8 NM-MT HIGH END","Sports Trading Card",,"https://www.ebay.com/itm/155141190719",,,"Ships from United States",,,,,
,,,,,"Beverly Hills, California, United States","155137085794",,"2995","US $2,995.00","nelsonfelson2020",,"","1969 Topps Reggie Jackson Rookie #260 PSA 7.5 NM+  NEAR MINT PLUS HIGH END","Sports Trading Card",,"https://www.ebay.com/itm/155137085794",,,"Ships from United States","5 watchers",,,,
,,,,,"Oxnard, California, United States","325067306272",,"2970","US $2,970.00","aburum",,"","Rare!! MAGIC JOHNSON!! BGS 8.5 1984 Star Celtics Champs #5  IA Lakers G00 2561","Sports Trading Card",,"https://www.ebay.com/itm/325067306272",,,"Ships from United States",,,,,
,,,,,"Houston, Texas, United States","175316459546",,"3000","US $3,000.00","shawn2857",,"","1986 - 1987 Fleer Sticker Michael Jordan Chicago Bulls #8 Basketball Card PSA 7","Sports Trading Card",,"https://www.ebay.com/itm/175316459546",,,"Ships from United States",,,,,
,,,,,"Portland, Oregon, United States","255674275825",,"3000","US $3,000.00","smoke87sportscardsllc",,"","1998 Playoff Momentum Headliners RED Peyton Manning PSA 10 Rookie Card 🤑📈📈📈","Sports Trading Card",,"https://www.ebay.com/itm/255674275825",,,"Ships from United States",,,,,
,,,,,"San Francisco, California, United States","195468780982",,"3000","US $3,000.00","lou8.5",,"","1997-98 Fleer Ultra Court Masters Michael Jordan Chicago Bulls HOF BGS 9",,,"https://www.ebay.com/itm/195468780982",,,"Ships from United States","7 watchers",,,,
