"available","availableText","brand","ean","endedDate","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2","whyToBuy/3"
,,,,,"North York, Ontario, Canada","284997168187",,"999.95","US $999.95","menwithsticks",,"","1923 V145-1 William Paterson #2 Frank Nighbor ROOKIE RC PSA 1 PR",,,"https://www.ebay.com/itm/284997168187",,,,,,
,,,,,"Kansas City, Missouri, United States","125562040523",,"999.99","US $999.99","coldsummer1",,"","2009 Topps UFC Round 1 Georges St Pierre PSA 8 Rookie RC Card Rare GOAt","Sports Trading Card",,"https://www.ebay.com/itm/125562040523",,,"Ships from United States",,,
,,,,,"Tacoma, Washington, United States","144410683902",,"999.97","US $999.97","nwsportscards.com",,"","CSA Elite Gem 10 1982 Topps #21 Cal Ripken Jr. RC LOW POP! Orioles G00 4127","Sports Trading Card",,"https://www.ebay.com/itm/144410683902",,,"Returns accepted","Ships from United States",,
,,,,,"Barrington, Illinois, United States","184695009048",,"999.99","US $999.99","annikallc",,"","2003-04 Upper Deck SPx Michael Jordan Serial Numbered 2999/3999","Sports Trading Card",,"https://www.ebay.com/itm/184695009048",,,"Ships from United States",,,
,,,,,"Croton-on-Hudson, New York, United States","134121750226",,"995.95","US $995.95","sportscard-trader",,"","2012 Leaf Metal Draft Prismatic Jorge Soler BGS 9.5 Gem Mint Set Rainbow 6 Cards","Sports Trading Card",,"https://www.ebay.com/itm/134121750226",,,"Ships from United States",,,
,,,,,"Huntington Beach, California, United States","203053253512",,"999.99","US $999.99","absportsmemorabiliaoc",,"","2014 Panin Totally Certifed Giannis Antetokounmpo Auto 43/49 PSA 9 $999.99","Sports Trading Card",,"https://www.ebay.com/itm/203053253512",,,"Ships from United States","11 watchers",,
,,,,,"Fort Worth, Texas, United States","385216000419",,"999.95","US $999.95","tharaptor",,"","2016 Panini Select Silver Prizm #287 Christian Pulisic Rookie RC PSA","Sports Trading Card",,"https://www.ebay.com/itm/385216000419",,,"Ships from United States",,,
,,,,,"Huntington Beach, California, United States","203272191322",,"999.99","US $999.99","absportsmemorabiliaoc",,"","2003 Upper Deck MVP #201 Lebron James PSA 9 Lakers $999.99","Sports Trading Card",,"https://www.ebay.com/itm/203272191322",,,"Ships from United States",,,
,,,,,"Barrington, Illinois, United States","184694976547",,"999.99","US $999.99","annikallc",,"","2008-09 Hot Prospects Hot Tandems Michael Jordan Scottie Pippen #HT2","Sports Trading Card",,"https://www.ebay.com/itm/184694976547",,,"Ships from United States",,,
,,,,,"Barrington, Illinois, United States","184694959128",,"999.99","US $999.99","annikallc",,"","1995-96 Topps Pro Files Insert Michael Jordan #PF-3 PSA Mint 9 Bulls","Sports Trading Card","Does not apply","https://www.ebay.com/itm/184694959128",,,"Ships from United States",,,
,,,,,"Huntington Beach, California, United States","203099664535",,"999.99","US $999.99","absportsmemorabiliaoc",,"","2017-18 Panini Prizm Silver Jayson Tatum RC #16 BGS 9 W/ 2 9.5's  $999.99","Sports Trading Card",,"https://www.ebay.com/itm/203099664535",,,"Ships from United States","8 watchers",,
,,,,,"Barrington, Illinois, United States","184695070272",,"999.99","US $999.99","annikallc",,"","1999-00 Upper Deck Michael Jordan Air Of Greatness #142 PSA 10 Gem Mint Sp","Sports Trading Card",,"https://www.ebay.com/itm/184695070272",,,"Ships from United States",,,
,,,,,"Barrington, Illinois, United States","184662231273",,"999.99","US $999.99","annikallc",,"","1997-98 Topps Clutch Time Michael Jordan BCCG 10 Insert Foil #CT1","Sports Trading Card",,"https://www.ebay.com/itm/184662231273",,,"Ships from United States",,,
,,,,,"Barrington, Illinois, United States","184673673877",,"999.99","US $999.99","annikallc",,"","1996-97 Hoops Kobe Bryant Rookie RC BGS 9 Mint Hot Card!!!","Sports Trading Card",,"https://www.ebay.com/itm/184673673877",,,"Ships from United States",,,
,,,,,"Fort Worth, Texas, United States","385215959680",,"999.95","US $999.95","tharaptor",,"","2016 Panini Select Multi-color #150 Christian Pulisic Rookie RC USA PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/385215959680",,,"Ships from United States",,,
,,,,,"Barrington, Illinois, United States","185246759744",,"999.99","US $999.99","annikallc",,"","2019-20 Panini Spectra Interstellar Prizm LeBron James #43 HGA 9 MINT /49 SSP","Sports Trading Card",,"https://www.ebay.com/itm/185246759744",,,"Ships from United States",,,
,,,,,"Barrington, Illinois, United States","184660956360",,"999.99","US $999.99","annikallc",,"","2008-09 SP Authentic Retail Red Michael Jordan #29 PSA Gem Mint 10","Sports Trading Card",,"https://www.ebay.com/itm/184660956360",,,"Ships from United States",,,
,,,,,"Colorado Springs, Colorado, United States","174624259918",,"999.98","US $999.98","logmana921",,"","1/1  2014 SP AUTHENTIC Future Watch Odell Beckham Jr. RC Rookie #1/999 PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/174624259918",,,"Ships from United States",,,
,,,,,"Huntingdon Valley, Pennsylvania, United States","234693227243",,"995.95","US $995.95","eeobe08",,"","Red Auerbach 1975 Topps Boston Celtics Team Photo Signed Autograph AUTO BAS BGS","Sports Trading Card",,"https://www.ebay.com/itm/234693227243",,,"Returns accepted","Ships from United States",,
