"available","availableText","brand","ean","endedDate","image","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2"
,,,,,,"Land O' Lakes, Florida, United States","265090847157",,"6999.99","US $6,999.99","008ripken",,"","2011 TOPPS UPDATE MIKE TROUT GOLD #US175 BGS 8.5 /2011 (9.5 CORNERS) LOOKS MINT!","Sports Trading Card",,"https://www.ebay.com/itm/265090847157",,,"Ships from United States","13 watchers",
,,,,,,"North, South Carolina, United States","334405016746",,"6999.99","US $6,999.99","cowboys928",,"","2011 Bowman Chrome Draft Purple Refractor #101 Mike Trout BGS 9.5 - 9 9.5 10 9.5","Sports Trading Card",,"https://www.ebay.com/itm/334405016746",,,"Ships from United States",,
,,,,,,"Buffalo Grove, Illinois, United States","284639936556",,"6999.99","US $6,999.99","e3sports",,"","1986 Topps #144 - Mark BAVARO - PSA 10+++ RC Giants","Sports Trading Card",,"https://www.ebay.com/itm/284639936556",,,"Returns accepted","Ships from United States",
,,,,,,"Buffalo Grove, Illinois, United States","284782853461",,"6999.99","US $6,999.99","e3sports",,"","1955 Topps #47 Hank AARON - PSA 7.5+++ HOF Braves","Sports Trading Card",,"https://www.ebay.com/itm/284782853461",,,"Returns accepted","Ships from United States","6 watchers"
,,,,,,"Massapequa Park, New York, United States","403413650350",,"6999.99","US $6,999.99","diamondsports77",,"","1952 BOWMAN MICKEY MANTLE #101  PSA 4 VG-EX+ New York Yankees CENTERED","Sports Trading Card",,"https://www.ebay.com/itm/403413650350",,,"Ships from United States","31 watchers",
,,,,,,"Chino Hills, California, United States","374248413218",,"6999.99","US $6,999.99","tind29",,"","2017 Topps Now Aaron Judge Game Used Sock Purple Rookie PSA 10 Gem Mint 18/25","Sports Trading Card",,"https://www.ebay.com/itm/374248413218",,,"Ships from United States",,
,,,,,,"Funchal, Portugal","265902834435",,"6999","US $6,999.00","presence_collectables",,"","CONOR MCGREGOR, 2017 TOPPS UFC CHROME, GREEN&BLUE REFRACTOR #/75 and #/99",,,"https://www.ebay.com/itm/265902834435",,,,,
,,,,,,"Honolulu, Hawaii, United States","275009704743",,"6999.99","US $6,999.99","dallas_1999",,"","1933 Goudey Babe Ruth #144 PSA Authentic","Sports Trading Card",,"https://www.ebay.com/itm/275009704743",,,"Ships from United States","39 watchers",
,,,,,,"Harlingen, Texas, United States","194789623059",,"6999","US $6,999.00","rlime186yag",,"","2000 BOWMAN TOM BRADY ROOKIE #236 THE GOAT FLAWLESS A+ QUALITY GEM MINT 10","Sports Trading Card",,"https://www.ebay.com/itm/194789623059",,,"Ships from United States",,
,,,,,,"Long Beach, California, United States","394324223795",,"6999.99","US $6,999.99","coralsncards--ig",,"","Deshaun Watson 2017 Optic Contenders Red Rookie RC Auto /75 bgs 9.5/10 🔥🔥","Sports Trading Card",,"https://www.ebay.com/itm/394324223795",,,"Ships from United States",,
,,,,,,"Morganville, New Jersey, United States","304298088187",,"6999","US $6,999.00","jb_hof_autos",,"","1993 SP Derek Jeter Signed Rookie Card PSA 10 Autograph Multiple Inscriptions","Sports Trading Card",,"https://www.ebay.com/itm/304298088187",,,"Ships from United States","7 watchers",
