"available","availableText","brand","ean","endedDate","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2"
,,,,,"Whitehorse, Yukon Territory, Canada","133900514277",,"12500","US $12,500.00","ig.gem_mint_oilers",,"","2015-16 Platinum CONNOR MCDAVID Retro Rainbow Blue RC ON CARD Auto BGS 9.5 POP 2","Sports Trading Card",,"https://www.ebay.com/itm/133900514277",,,"41 watchers",,
,,,,,"Newton Center, Massachusetts, United States","174676686980",,"12500","US $12,500.00","abbar09",,"","1980-81 O-PEE-CHEE OPC Wayne Gretzky #87 AS2 BVG BGS 10 Pristine (Pop of 3)","Sports Trading Card",,"https://www.ebay.com/itm/174676686980",,,"Ships from United States","7 watchers",
,,,,,"Miami Beach, Florida, United States","325452972151",,"8000","US $8,000.00US $12,500.00","szk777",,"","2003 UD Glass Auto Focus MJ Michael Jordan SP BGS 9.5 AUTOGRAPHED BULLS UNIFORM","Sports Trading Card",,"https://www.ebay.com/itm/325452972151",,,"Ships from United States",,
,,,,,"Howard Beach, New York, United States","273808506406",,"12500","US $12,500.00","ajtorres75",,"","1968 TOPPS CARL YASTRZEMSKI #250 PSA GEM MINT 10","Sports Trading Card",,"https://www.ebay.com/itm/273808506406",,,"Ships from United States","17 watchers",
,,,,,"Berlin, New Hampshire, United States","125222385808",,"12500","US $12,500.00","kissarmy-2007",,"","1983 Wade Boggs Rookie Card lot.  One Donruss BGS 10 and one Topps BGS 10","Sports Trading Card",,"https://www.ebay.com/itm/125222385808",,,"7 watchers",,
,,,,,"Las Vegas, Nevada, United States","144761372641",,"12499.99","US $12,499.99","cardsnotbombs",,"","2018 Panini Contenders JOSH ALLEN Ticket Stub Auto Rookie RC /17 BGS 9.5 Gem","Sports Trading Card",,"https://www.ebay.com/itm/144761372641",,,"Ships from United States","11 watchers",
,,,,,"Nsw, Australia","143935106514",,"18000","AU $18,000.00","comic-mania",,"","2012-13 Panini Flawless TEAM PANINI AUTOGRAPHS KOBE BRYANT 1 Of 1 Highest Graded","Sports Trading Card",,"https://www.ebay.com/itm/143935106514",,,"34 watchers",,
,,,,,"Deerfield Beach, Florida, United States","304356225825",,"12500","US $12,500.00","sportz-collectibles",,"","2020 Prizm JOE BURROW /25 Camo Prizm Auto RC - PSA/DNA 9/10 POP 4 None Higher 🔥","Sports Trading Card","Does not apply","https://www.ebay.com/itm/304356225825",,,"Ships from United States","11 watchers",
,,,,,"Canoga Park, California, United States","195425573740",,"12500","US $12,500.00","grays",,"","1950 National Press Postcard w/ Jackie Robinson Bowman's Cocktail Lounge SGC 88",,"Does not apply","https://www.ebay.com/itm/195425573740",,,"Ships from United States",,
,,,,,"Huntington Station, New York, United States","114737451735",,"12500","US $12,500.00","15killavilla",,"","2001 Topps Chrome Traded #T266 Ichiro Suzuki RC Rookie PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/114737451735",,,"Money Back Guarantee",,
